CarId,CarBrand,CarModel,CarYear,ValueVehicle,CylinderCapacity,Weight,Length,Power
1,Toyota,Corolla,2008,23750.0,1868,1070,4.525,109
2,Honda,Civic,2001,11910.0,1390,994,3.828,85
3,Mazda,3,2009,28220.0,1896,900,4.317,75
4,Toyota,Vios,1999,19500.0,1867,995,4.659,100
5,Honda,City,2003,17550.0,1398,1290,4.447,70
6,Ford,Ranger,1999,26005.0,1560,815,3.835,100
7,Isuzu,D-Max,2005,17960.0,1461,1232,4.61,105
8,Mitsubishi,Triton,2005,27555.0,1199,965,4.028,102
9,Nissan,Almera,2015,11010.0,1995,1100,4.407,5
10,Suzuki,Swift,2000,13240.0,1910,1630,4.29,125
11,BMW,3 Series,2016,28451.91,1896,1065,4.11,98
12,Mercedes-Benz,C-Class,2011,24040.0,1587,1273,4.46,130
13,MG,ZS,1985,20855.0,1248,1223,5.998,115
14,Hyundai,H-1,2008,26069.99,2505,1158,4.152,120
15,Kia,Grand Carnival,2007,17480.0,999,1205,4.782,70
16,Subaru,Forester,1994,33700.0,2497,1680,3.72,90
17,Toyota,Fortuner,2018,1977.33,1896,900,3.8,140
18,Honda,CR-V,2008,26000.0,125,1150,3.99,143
19,Mazda,CX-5,2005,22310.0,1753,1240,4.745,140
20,Nissan,Terra,2005,15500.0,1997,1182,3.822,160
